#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.001261
       2.825000     0.020678
       2.875000     0.125074
       2.925000     0.546311
       2.975000     1.439531
       3.025000     2.531667
       3.075000     3.363691
       3.125000     3.838420
       3.175000     3.687664
       3.225000     3.250339
       3.275000     2.678056
       3.325000     2.094564
       3.375000     1.642648
       3.425000     1.246240
       3.475000     1.027754
       3.525000     0.846075
       3.575000     0.781559
       3.625000     0.783049
       3.675000     0.745355
       3.725000     0.736673
       3.775000     0.775530
       3.825000     0.763018
       3.875000     0.769313
       3.925000     0.784810
       3.975000     0.837071
       4.025000     0.878121
       4.075000     0.906101
       4.125000     0.974692
       4.175000     1.014696
       4.225000     1.056079
       4.275000     1.110664
       4.325000     1.144293
       4.375000     1.240006
       4.425000     1.266428
       4.475000     1.243134
       4.525000     1.242836
       4.575000     1.256865
       4.625000     1.304262
       4.675000     1.337807
       4.725000     1.333340
       4.775000     1.340901
       4.825000     1.373924
       4.875000     1.467607
       4.925000     1.500393
       4.975000     1.449207
       5.025000     1.436657
       5.075000     1.397558
       5.125000     1.393336
       5.175000     1.341531
       5.225000     1.373226
       5.275000     1.366505
       5.325000     1.312720
       5.375000     1.280347
       5.425000     1.266090
       5.475000     1.241128
       5.525000     1.213996
       5.575000     1.200595
       5.625000     1.227514
       5.675000     1.198594
       5.725000     1.196113
       5.775000     1.190044
       5.825000     1.165983
       5.875000     1.194876
       5.925000     1.197055
       5.975000     1.193555
       6.025000     1.141737
       6.075000     1.140381
       6.125000     1.149655
       6.175000     1.155680
       6.225000     1.168503
       6.275000     1.158954
       6.325000     1.154656
       6.375000     1.154768
       6.425000     1.179428
       6.475000     1.216042
       6.525000     1.211614
       6.575000     1.200442
       6.625000     1.201522
       6.675000     1.214962
       6.725000     1.188378
       6.775000     1.141505
       6.825000     1.147036
       6.875000     1.120554
       6.925000     1.123662
       6.975000     1.091747
       7.025000     1.093276
       7.075000     1.052764
       7.125000     1.027332
       7.175000     0.983741
       7.225000     0.960503
       7.275000     0.894521
       7.325000     0.897820
       7.375000     0.857131
       7.425000     0.836030
       7.475000     0.798476
       7.525000     0.771185
       7.575000     0.748604
       7.625000     0.715861
       7.675000     0.718265
       7.725000     0.690046
       7.775000     0.673571
       7.825000     0.660473
       7.875000     0.626832
       7.925000     0.611142
       7.975000     0.593201
