#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.009342
       2.775000     0.027026
       2.825000     0.167645
       2.875000     0.580315
       2.925000     1.431730
       2.975000     2.414179
       3.025000     3.223125
       3.075000     3.339265
       3.125000     3.263710
       3.175000     2.581684
       3.225000     1.880026
       3.275000     1.504278
       3.325000     1.082880
       3.375000     0.743902
       3.425000     0.676719
       3.475000     0.581881
       3.525000     0.579050
       3.575000     0.590106
       3.625000     0.643326
       3.675000     0.727939
       3.725000     0.792095
       3.775000     0.826888
       3.825000     0.858925
       3.875000     0.953065
       3.925000     1.152810
       3.975000     1.255709
       4.025000     1.332372
       4.075000     1.399546
       4.125000     1.481729
       4.175000     1.539697
       4.225000     1.607848
       4.275000     1.588353
       4.325000     1.571444
       4.375000     1.687440
       4.425000     1.676854
       4.475000     1.717785
       4.525000     1.683422
       4.575000     1.711696
       4.625000     1.754577
       4.675000     1.671448
       4.725000     1.614509
       4.775000     1.619995
       4.825000     1.614690
       4.875000     1.503757
       4.925000     1.454992
       4.975000     1.378644
       5.025000     1.314451
       5.075000     1.244427
       5.125000     1.302898
       5.175000     1.197538
       5.225000     1.139516
       5.275000     1.051768
       5.325000     1.040848
       5.375000     0.971146
       5.425000     0.967808
       5.475000     0.971041
       5.525000     0.879846
       5.575000     0.865091
       5.625000     0.795593
       5.675000     0.767787
       5.725000     0.790115
       5.775000     0.796700
       5.825000     0.812875
       5.875000     0.824365
       5.925000     0.864714
       5.975000     0.957180
       6.025000     0.993233
       6.075000     1.043280
       6.125000     1.109003
       6.175000     1.148037
       6.225000     1.145526
       6.275000     1.195049
       6.325000     1.276066
       6.375000     1.352697
       6.425000     1.394146
       6.475000     1.400355
       6.525000     1.378045
       6.575000     1.349601
       6.625000     1.399080
       6.675000     1.402221
       6.725000     1.405991
       6.775000     1.386395
       6.825000     1.362326
       6.875000     1.369422
       6.925000     1.307352
       6.975000     1.217988
       7.025000     1.182237
       7.075000     1.095496
       7.125000     1.051672
       7.175000     1.023782
       7.225000     0.975867
       7.275000     0.909131
       7.325000     0.885864
       7.375000     0.814127
       7.425000     0.800683
       7.475000     0.769432
       7.525000     0.742964
       7.575000     0.739925
       7.625000     0.708945
       7.675000     0.683418
       7.725000     0.656830
       7.775000     0.595454
       7.825000     0.607454
       7.875000     0.590176
       7.925000     0.552929
       7.975000     0.535109
