#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.021069
       2.175000     0.030167
       2.225000     0.139327
       2.275000     0.399811
       2.325000     0.796401
       2.375000     1.311394
       2.425000     1.464151
       2.475000     1.782230
       2.525000     2.156289
       2.575000     2.661656
       2.625000     2.827016
       2.675000     2.542830
       2.725000     2.251782
       2.775000     1.893385
       2.825000     1.379904
       2.875000     1.030179
       2.925000     0.747836
       2.975000     0.502543
       3.025000     0.278125
       3.075000     0.201236
       3.125000     0.182670
       3.175000     0.143929
       3.225000     0.173805
       3.275000     0.157450
       3.325000     0.240959
       3.375000     0.238049
       3.425000     0.273729
       3.475000     0.265909
       3.525000     0.331159
       3.575000     0.325683
       3.625000     0.405454
       3.675000     0.431480
       3.725000     0.507398
       3.775000     0.609212
       3.825000     0.767342
       3.875000     0.777765
       3.925000     0.852256
       3.975000     0.931809
       4.025000     0.973402
       4.075000     1.117249
       4.125000     1.203555
       4.175000     1.297712
       4.225000     1.485705
       4.275000     1.539656
       4.325000     1.630148
       4.375000     1.564520
       4.425000     1.542726
       4.475000     1.627219
       4.525000     1.418372
       4.575000     1.409131
       4.625000     1.371044
       4.675000     1.379965
       4.725000     1.333868
       4.775000     1.261222
       4.825000     1.331257
       4.875000     1.317101
       4.925000     1.327757
       4.975000     1.354058
       5.025000     1.495860
       5.075000     1.470224
       5.125000     1.431716
       5.175000     1.543625
       5.225000     1.481987
       5.275000     1.424108
       5.325000     1.418461
       5.375000     1.380668
       5.425000     1.364225
       5.475000     1.317204
       5.525000     1.292692
       5.575000     1.271139
       5.625000     1.221579
       5.675000     1.242246
       5.725000     1.245316
       5.775000     1.229551
       5.825000     1.287047
       5.875000     1.266611
       5.925000     1.272426
       5.975000     1.257215
       6.025000     1.214813
       6.075000     1.280616
       6.125000     1.274376
       6.175000     1.305597
       6.225000     1.318467
       6.275000     1.228072
       6.325000     1.231326
       6.375000     1.183994
       6.425000     1.206547
       6.475000     1.186851
       6.525000     1.190519
       6.575000     1.114710
       6.625000     1.061639
       6.675000     1.058606
       6.725000     1.037138
       6.775000     0.933274
       6.825000     0.917607
       6.875000     0.870089
       6.925000     0.826819
       6.975000     0.817452
       7.025000     0.863693
       7.075000     0.872437
       7.125000     0.932859
       7.175000     0.921751
       7.225000     0.951869
       7.275000     0.943324
       7.325000     0.948222
       7.375000     0.936283
       7.425000     0.964702
       7.475000     0.957800
       7.525000     0.954355
       7.575000     0.924388
       7.625000     0.882031
       7.675000     0.833023
       7.725000     0.846588
       7.775000     0.792846
       7.825000     0.781969
       7.875000     0.793166
       7.925000     0.753649
       7.975000     0.733009
