#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.017936
       2.625000     0.017259
       2.675000     0.029916
       2.725000     0.025625
       2.775000     0.083395
       2.825000     0.140077
       2.875000     0.258983
       2.925000     0.319707
       2.975000     0.462232
       3.025000     0.714806
       3.075000     0.938264
       3.125000     1.164219
       3.175000     1.267051
       3.225000     1.427028
       3.275000     1.512410
       3.325000     1.701771
       3.375000     1.660075
       3.425000     1.626154
       3.475000     1.719544
       3.525000     1.833817
       3.575000     1.928043
       3.625000     1.779290
       3.675000     1.829828
       3.725000     1.707326
       3.775000     1.664068
       3.825000     1.695631
       3.875000     1.641067
       3.925000     1.696792
       3.975000     1.634805
       4.025000     1.435878
       4.075000     1.375076
       4.125000     1.305599
       4.175000     1.352296
       4.225000     1.233868
       4.275000     1.285866
       4.325000     1.214346
       4.375000     1.194204
       4.425000     1.042251
       4.475000     1.009589
       4.525000     0.918864
       4.575000     0.970482
       4.625000     0.853984
       4.675000     0.900024
       4.725000     0.840592
       4.775000     0.882543
       4.825000     0.869455
       4.875000     0.894748
       4.925000     0.953161
       4.975000     1.009057
       5.025000     1.023929
       5.075000     1.053722
       5.125000     1.073108
       5.175000     1.055136
       5.225000     1.109966
       5.275000     1.132619
       5.325000     1.207915
       5.375000     1.248117
       5.425000     1.356143
       5.475000     1.401314
       5.525000     1.397884
       5.575000     1.340015
       5.625000     1.380196
       5.675000     1.420976
       5.725000     1.401344
       5.775000     1.310143
       5.825000     1.327705
       5.875000     1.312782
       5.925000     1.344245
       5.975000     1.255217
       6.025000     1.307201
       6.075000     1.298662
       6.125000     1.229995
       6.175000     1.202047
       6.225000     1.239286
       6.275000     1.283042
       6.325000     1.312185
       6.375000     1.282318
       6.425000     1.333310
       6.475000     1.342866
       6.525000     1.311191
       6.575000     1.322687
       6.625000     1.397635
       6.675000     1.331398
       6.725000     1.343756
       6.775000     1.196000
       6.825000     1.195902
       6.875000     1.162971
       6.925000     1.161613
       6.975000     1.157731
       7.025000     1.078653
       7.075000     1.034950
       7.125000     1.006888
       7.175000     0.974422
       7.225000     0.939566
       7.275000     0.880406
       7.325000     0.910985
       7.375000     0.891677
       7.425000     0.825347
       7.475000     0.779010
       7.525000     0.809437
       7.575000     0.805419
       7.625000     0.768299
       7.675000     0.731267
       7.725000     0.697120
       7.775000     0.719267
       7.825000     0.655331
       7.875000     0.660460
       7.925000     0.630566
       7.975000     0.616326
