#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.001585
       2.525000     0.007613
       2.575000     0.057096
       2.625000     0.208495
       2.675000     0.527031
       2.725000     0.900699
       2.775000     1.208890
       2.825000     1.476037
       2.875000     1.621858
       2.925000     1.768844
       2.975000     1.792147
       3.025000     1.811364
       3.075000     1.773471
       3.125000     1.783774
       3.175000     1.730925
       3.225000     1.734603
       3.275000     1.631361
       3.325000     1.565984
       3.375000     1.511833
       3.425000     1.433673
       3.475000     1.338050
       3.525000     1.237472
       3.575000     1.229304
       3.625000     1.184546
       3.675000     1.150017
       3.725000     1.146636
       3.775000     1.082745
       3.825000     1.099740
       3.875000     1.075422
       3.925000     1.066471
       3.975000     1.046262
       4.025000     1.062673
       4.075000     1.058385
       4.125000     1.065116
       4.175000     1.063426
       4.225000     1.032695
       4.275000     1.109336
       4.325000     1.084094
       4.375000     1.044242
       4.425000     1.055480
       4.475000     1.095771
       4.525000     1.106535
       4.575000     1.126772
       4.625000     1.160403
       4.675000     1.188125
       4.725000     1.201811
       4.775000     1.198700
       4.825000     1.206092
       4.875000     1.231516
       4.925000     1.246058
       4.975000     1.245259
       5.025000     1.262313
       5.075000     1.259423
       5.125000     1.312212
       5.175000     1.302927
       5.225000     1.326824
       5.275000     1.329874
       5.325000     1.365612
       5.375000     1.374428
       5.425000     1.353498
       5.475000     1.401430
       5.525000     1.401144
       5.575000     1.454519
       5.625000     1.458535
       5.675000     1.464748
       5.725000     1.433499
       5.775000     1.451717
       5.825000     1.462950
       5.875000     1.431124
       5.925000     1.404998
       5.975000     1.440043
       6.025000     1.399795
       6.075000     1.383950
       6.125000     1.340099
       6.175000     1.299901
       6.225000     1.283988
       6.275000     1.307121
       6.325000     1.283382
       6.375000     1.245535
       6.425000     1.252444
       6.475000     1.238154
       6.525000     1.226434
       6.575000     1.202687
       6.625000     1.207383
       6.675000     1.191868
       6.725000     1.175392
       6.775000     1.164663
       6.825000     1.145994
       6.875000     1.133801
       6.925000     1.123763
       6.975000     1.078178
       7.025000     1.050100
       7.075000     1.040061
       7.125000     1.027714
       7.175000     0.998921
       7.225000     0.976217
       7.275000     0.958901
       7.325000     0.932466
       7.375000     0.904517
       7.425000     0.874856
       7.475000     0.848076
       7.525000     0.840530
       7.575000     0.823126
       7.625000     0.810780
       7.675000     0.794236
       7.725000     0.771787
       7.775000     0.773375
       7.825000     0.728882
       7.875000     0.724821
       7.925000     0.716864
       7.975000     0.689434
