#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.002521
       2.825000     0.003649
       2.875000     0.018203
       2.925000     0.086230
       2.975000     0.184808
       3.025000     0.433879
       3.075000     0.762772
       3.125000     1.070563
       3.175000     1.456962
       3.225000     1.928270
       3.275000     2.246345
       3.325000     2.478268
       3.375000     2.646134
       3.425000     2.731219
       3.475000     2.592095
       3.525000     2.378462
       3.575000     2.278978
       3.625000     2.079880
       3.675000     1.903278
       3.725000     1.776621
       3.775000     1.604533
       3.825000     1.452055
       3.875000     1.398017
       3.925000     1.333326
       3.975000     1.227499
       4.025000     1.214569
       4.075000     1.142857
       4.125000     1.079093
       4.175000     1.072893
       4.225000     1.080279
       4.275000     1.081450
       4.325000     1.031680
       4.375000     1.037142
       4.425000     1.089936
       4.475000     1.118796
       4.525000     1.083778
       4.575000     1.124221
       4.625000     1.228248
       4.675000     1.216995
       4.725000     1.212246
       4.775000     1.238721
       4.825000     1.277395
       4.875000     1.262355
       4.925000     1.302288
       4.975000     1.278793
       5.025000     1.235402
       5.075000     1.226255
       5.125000     1.209837
       5.175000     1.191646
       5.225000     1.171082
       5.275000     1.161546
       5.325000     1.177323
       5.375000     1.184417
       5.425000     1.183630
       5.475000     1.209068
       5.525000     1.223854
       5.575000     1.235888
       5.625000     1.215088
       5.675000     1.272442
       5.725000     1.318286
       5.775000     1.339072
       5.825000     1.357667
       5.875000     1.337890
       5.925000     1.381079
       5.975000     1.353847
       6.025000     1.393377
       6.075000     1.417092
       6.125000     1.406212
       6.175000     1.387477
       6.225000     1.401101
       6.275000     1.388107
       6.325000     1.379836
       6.375000     1.342870
       6.425000     1.339570
       6.475000     1.336790
       6.525000     1.304297
       6.575000     1.284423
       6.625000     1.244650
       6.675000     1.242088
       6.725000     1.235707
       6.775000     1.185600
       6.825000     1.172669
       6.875000     1.117062
       6.925000     1.096739
       6.975000     1.043360
       7.025000     1.040756
       7.075000     1.012329
       7.125000     1.003716
       7.175000     0.995150
       7.225000     0.990629
       7.275000     0.963027
       7.325000     0.923963
       7.375000     0.943425
       7.425000     0.907783
       7.475000     0.874744
       7.525000     0.870273
       7.575000     0.847487
       7.625000     0.819295
       7.675000     0.807419
       7.725000     0.783093
       7.775000     0.781564
       7.825000     0.734827
       7.875000     0.720752
       7.925000     0.701948
       7.975000     0.688824
