#Distance_(Ang)    @O_=>_@O1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.004178
       2.325000     0.056000
       2.375000     0.437004
       2.425000     1.114108
       2.475000     1.870829
       2.525000     2.421501
       2.575000     2.602305
       2.625000     2.532359
       2.675000     2.299577
       2.725000     2.119872
       2.775000     1.667908
       2.825000     1.249039
       2.875000     0.698470
       2.925000     0.447337
       2.975000     0.383565
       3.025000     0.319004
       3.075000     0.203523
       3.125000     0.223633
       3.175000     0.287430
       3.225000     0.328483
       3.275000     0.471746
       3.325000     0.551545
       3.375000     0.747936
       3.425000     0.899527
       3.475000     0.970523
       3.525000     1.030195
       3.575000     1.277354
       3.625000     1.507287
       3.675000     1.569019
       3.725000     1.653407
       3.775000     1.822326
       3.825000     1.810466
       3.875000     1.795728
       3.925000     1.600085
       3.975000     1.592929
       4.025000     1.461505
       4.075000     1.450601
       4.125000     1.432169
       4.175000     1.383185
       4.225000     1.282806
       4.275000     1.204465
       4.325000     1.158281
       4.375000     1.218945
       4.425000     1.289838
       4.475000     1.356196
       4.525000     1.396090
       4.575000     1.395701
       4.625000     1.478904
       4.675000     1.454365
       4.725000     1.385975
       4.775000     1.376069
       4.825000     1.306830
       4.875000     1.267423
       4.925000     1.095618
       4.975000     0.962754
       5.025000     0.983938
       5.075000     0.889086
       5.125000     0.932743
       5.175000     0.863132
       5.225000     0.812634
       5.275000     0.757670
       5.325000     0.861707
       5.375000     0.846498
       5.425000     0.978645
       5.475000     0.944260
       5.525000     1.040585
       5.575000     1.113142
       5.625000     1.128295
       5.675000     1.241440
       5.725000     1.253497
       5.775000     1.329788
       5.825000     1.472112
       5.875000     1.451547
       5.925000     1.503529
       5.975000     1.469992
       6.025000     1.574956
       6.075000     1.446018
       6.125000     1.451325
       6.175000     1.515815
       6.225000     1.450827
       6.275000     1.369039
       6.325000     1.376127
       6.375000     1.324830
       6.425000     1.335719
       6.475000     1.413679
       6.525000     1.444408
       6.575000     1.516058
       6.625000     1.502128
       6.675000     1.512225
       6.725000     1.504165
       6.775000     1.594165
       6.825000     1.517973
       6.875000     1.489569
       6.925000     1.426202
       6.975000     1.375161
       7.025000     1.289055
       7.075000     1.284292
       7.125000     1.200735
       7.175000     1.157176
       7.225000     1.120089
       7.275000     1.007917
       7.325000     0.951889
       7.375000     0.911595
       7.425000     0.890730
       7.475000     0.824675
       7.525000     0.772893
       7.575000     0.760086
       7.625000     0.682834
       7.675000     0.655979
       7.725000     0.648239
       7.775000     0.651375
       7.825000     0.633896
       7.875000     0.616457
       7.925000     0.610081
       7.975000     0.591235
