#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.006783
       2.575000     0.032610
       2.625000     0.047070
       2.675000     0.081588
       2.725000     0.081534
       2.775000     0.070198
       2.825000     0.154437
       2.875000     0.183120
       2.925000     0.187022
       2.975000     0.354248
       3.025000     0.531674
       3.075000     0.690606
       3.125000     0.989741
       3.175000     1.218359
       3.225000     1.417881
       3.275000     1.622887
       3.325000     1.895203
       3.375000     1.848957
       3.425000     1.839607
       3.475000     1.949998
       3.525000     2.044729
       3.575000     2.141894
       3.625000     2.035496
       3.675000     2.030118
       3.725000     1.821708
       3.775000     1.738873
       3.825000     1.727702
       3.875000     1.523560
       3.925000     1.447095
       3.975000     1.445131
       4.025000     1.524236
       4.075000     1.394608
       4.125000     1.453772
       4.175000     1.430325
       4.225000     1.408785
       4.275000     1.381940
       4.325000     1.357108
       4.375000     1.314969
       4.425000     1.248978
       4.475000     1.336760
       4.525000     1.376025
       4.575000     1.422561
       4.625000     1.424317
       4.675000     1.352460
       4.725000     1.536098
       4.775000     1.390294
       4.825000     1.492591
       4.875000     1.433926
       4.925000     1.444183
       4.975000     1.392586
       5.025000     1.364154
       5.075000     1.271082
       5.125000     1.141849
       5.175000     1.090017
       5.225000     1.010644
       5.275000     0.960492
       5.325000     0.864757
       5.375000     0.806830
       5.425000     0.788353
       5.475000     0.813694
       5.525000     0.857828
       5.575000     0.889123
       5.625000     0.986831
       5.675000     0.908420
       5.725000     1.050299
       5.775000     1.130741
       5.825000     1.149649
       5.875000     1.180909
       5.925000     1.275629
       5.975000     1.330079
       6.025000     1.448077
       6.075000     1.416722
       6.125000     1.510115
       6.175000     1.505040
       6.225000     1.530065
       6.275000     1.466789
       6.325000     1.453960
       6.375000     1.453057
       6.425000     1.409053
       6.475000     1.466286
       6.525000     1.378384
       6.575000     1.323987
       6.625000     1.300629
       6.675000     1.326351
       6.725000     1.432447
       6.775000     1.359091
       6.825000     1.233411
       6.875000     1.144168
       6.925000     1.111473
       6.975000     1.103151
       7.025000     1.101086
       7.075000     1.148648
       7.125000     1.161548
       7.175000     1.100472
       7.225000     1.112633
       7.275000     1.122314
       7.325000     1.094552
       7.375000     1.123094
       7.425000     1.052324
       7.475000     1.066931
       7.525000     0.993229
       7.575000     0.964709
       7.625000     0.941314
       7.675000     0.906697
       7.725000     0.896447
       7.775000     0.815560
       7.825000     0.767738
       7.875000     0.725244
       7.925000     0.705793
       7.975000     0.609254
