#Distance_(Ang)    @O_=>_@S2
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.003391
       2.575000     0.013044
       2.625000     0.025104
       2.675000     0.063457
       2.725000     0.090269
       2.775000     0.219018
       2.825000     0.357643
       2.875000     0.497039
       2.925000     0.785998
       2.975000     0.901500
       3.025000     1.245298
       3.075000     1.500125
       3.125000     1.532217
       3.175000     1.542254
       3.225000     1.569648
       3.275000     1.574503
       3.325000     1.421891
       3.375000     1.410447
       3.425000     1.439612
       3.475000     1.165701
       3.525000     1.134607
       3.575000     1.103092
       3.625000     1.107428
       3.675000     1.175163
       3.725000     1.083052
       3.775000     1.072760
       3.825000     0.910406
       3.875000     0.960505
       3.925000     1.014791
       3.975000     1.133114
       4.025000     1.237274
       4.075000     1.178450
       4.125000     1.227573
       4.175000     1.305032
       4.225000     1.321569
       4.275000     1.274271
       4.325000     1.340925
       4.375000     1.389529
       4.425000     1.369348
       4.475000     1.308686
       4.525000     1.428827
       4.575000     1.404998
       4.625000     1.365687
       4.675000     1.399950
       4.725000     1.401472
       4.775000     1.349515
       4.825000     1.378348
       4.875000     1.452123
       4.925000     1.440617
       4.975000     1.428405
       5.025000     1.489180
       5.075000     1.428918
       5.125000     1.355071
       5.175000     1.371806
       5.225000     1.299739
       5.275000     1.336607
       5.325000     1.218591
       5.375000     1.163841
       5.425000     1.188774
       5.475000     1.099353
       5.525000     1.010834
       5.575000     0.925300
       5.625000     0.915074
       5.675000     0.997718
       5.725000     0.950679
       5.775000     0.936233
       5.825000     0.955917
       5.875000     0.920295
       5.925000     1.007075
       5.975000     0.967275
       6.025000     1.049573
       6.075000     1.024165
       6.125000     1.049588
       6.175000     1.045135
       6.225000     1.090911
       6.275000     1.102700
       6.325000     1.144250
       6.375000     1.175853
       6.425000     1.190623
       6.475000     1.265658
       6.525000     1.274268
       6.575000     1.301979
       6.625000     1.277474
       6.675000     1.338969
       6.725000     1.368857
       6.775000     1.402903
       6.825000     1.372674
       6.875000     1.382517
       6.925000     1.376152
       6.975000     1.413829
       7.025000     1.336815
       7.075000     1.304595
       7.125000     1.262922
       7.175000     1.276044
       7.225000     1.294482
       7.275000     1.201983
       7.325000     1.202556
       7.375000     1.168018
       7.425000     1.115864
       7.475000     1.113756
       7.525000     1.016522
       7.575000     0.991465
       7.625000     0.911189
       7.675000     0.858609
       7.725000     0.823978
       7.775000     0.840242
       7.825000     0.801286
       7.875000     0.790098
       7.925000     0.746075
       7.975000     0.712610
