#Distance_(Ang)    @O_=>_@S1
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.010838
       2.875000     0.020928
       2.925000     0.078347
       2.975000     0.122154
       3.025000     0.203218
       3.075000     0.292707
       3.125000     0.471622
       3.175000     0.598455
       3.225000     0.775468
       3.275000     0.961636
       3.325000     1.138295
       3.375000     1.313633
       3.425000     1.576016
       3.475000     1.749447
       3.525000     1.867229
       3.575000     1.903342
       3.625000     2.050305
       3.675000     2.034921
       3.725000     1.996243
       3.775000     1.917919
       3.825000     1.779430
       3.875000     1.765487
       3.925000     1.664650
       3.975000     1.794098
       4.025000     1.683066
       4.075000     1.608162
       4.125000     1.565600
       4.175000     1.587871
       4.225000     1.500846
       4.275000     1.464761
       4.325000     1.331677
       4.375000     1.278819
       4.425000     1.306403
       4.475000     1.200709
       4.525000     1.158480
       4.575000     1.119866
       4.625000     1.062425
       4.675000     1.120949
       4.725000     1.098320
       4.775000     1.105786
       4.825000     1.140574
       4.875000     1.207373
       4.925000     1.138409
       4.975000     1.104284
       5.025000     1.126091
       5.075000     1.135914
       5.125000     1.115505
       5.175000     1.052875
       5.225000     1.074799
       5.275000     1.069286
       5.325000     1.036336
       5.375000     1.050825
       5.425000     1.013911
       5.475000     1.058957
       5.525000     1.020043
       5.575000     0.995567
       5.625000     1.040820
       5.675000     1.066873
       5.725000     1.097799
       5.775000     1.128796
       5.825000     1.128619
       5.875000     1.153970
       5.925000     1.298419
       5.975000     1.336741
       6.025000     1.376001
       6.075000     1.426097
       6.125000     1.424811
       6.175000     1.422813
       6.225000     1.557407
       6.275000     1.522253
       6.325000     1.476661
       6.375000     1.545103
       6.425000     1.467196
       6.475000     1.517861
       6.525000     1.436282
       6.575000     1.355499
       6.625000     1.296195
       6.675000     1.256952
       6.725000     1.249327
       6.775000     1.227658
       6.825000     1.182347
       6.875000     1.234292
       6.925000     1.172796
       6.975000     1.187154
       7.025000     1.088380
       7.075000     1.014301
       7.125000     1.038876
       7.175000     0.976144
       7.225000     0.968894
       7.275000     0.966653
       7.325000     0.972039
       7.375000     0.975204
       7.425000     0.976234
       7.475000     0.956639
       7.525000     0.954660
       7.575000     0.964709
       7.625000     0.856517
       7.675000     0.919178
       7.725000     0.949712
       7.775000     0.890678
       7.825000     0.874034
       7.875000     0.875523
       7.925000     0.877249
       7.975000     0.857784
