#Distance_(Ang)    @O_=>_@SE
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000000
       2.325000     0.000000
       2.375000     0.000000
       2.425000     0.000000
       2.475000     0.000000
       2.525000     0.000000
       2.575000     0.000000
       2.625000     0.000000
       2.675000     0.000000
       2.725000     0.000000
       2.775000     0.000000
       2.825000     0.002290
       2.875000     0.028743
       2.925000     0.055537
       2.975000     0.266365
       3.025000     0.659060
       3.075000     1.136448
       3.125000     1.903196
       3.175000     2.630528
       3.225000     2.756936
       3.275000     2.998842
       3.325000     2.621704
       3.375000     2.186816
       3.425000     1.766673
       3.475000     1.437734
       3.525000     1.378117
       3.575000     1.261192
       3.625000     0.997168
       3.675000     1.028405
       3.725000     1.023373
       3.775000     0.960536
       3.825000     0.851897
       3.875000     0.823970
       3.925000     0.849376
       3.975000     0.828142
       4.025000     0.761445
       4.075000     0.806706
       4.125000     0.670198
       4.175000     0.645854
       4.225000     0.646015
       4.275000     0.575993
       4.325000     0.524649
       4.375000     0.582426
       4.425000     0.582405
       4.475000     0.604142
       4.525000     0.556948
       4.575000     0.634775
       4.625000     0.649319
       4.675000     0.683167
       4.725000     0.704802
       4.775000     0.745425
       4.825000     0.786577
       4.875000     0.850499
       4.925000     0.917705
       4.975000     0.936271
       5.025000     0.872858
       5.075000     0.965727
       5.125000     0.894791
       5.175000     0.861206
       5.225000     0.855514
       5.275000     0.835432
       5.325000     0.811438
       5.375000     0.712279
       5.425000     0.756339
       5.475000     0.698691
       5.525000     0.678320
       5.575000     0.686199
       5.625000     0.680408
       5.675000     0.583919
       5.725000     0.618930
       5.775000     0.682236
       5.825000     0.674883
       5.875000     0.677211
       5.925000     0.715285
       5.975000     0.698245
       6.025000     0.761718
       6.075000     0.717539
       6.125000     0.738997
       6.175000     0.703114
       6.225000     0.668284
       6.275000     0.736579
       6.325000     0.719041
       6.375000     0.720397
       6.425000     0.772094
       6.475000     0.752805
       6.525000     0.723284
       6.575000     0.698797
       6.625000     0.731177
       6.675000     0.707139
       6.725000     0.661910
       6.775000     0.682835
       6.825000     0.672082
       6.875000     0.687474
       6.925000     0.697399
       6.975000     0.691945
       7.025000     0.675834
       7.075000     0.659379
       7.125000     0.659517
       7.175000     0.688697
       7.225000     0.683749
       7.275000     0.678872
       7.325000     0.622291
       7.375000     0.635386
       7.425000     0.643432
       7.475000     0.659384
       7.525000     0.681634
       7.575000     0.700693
       7.625000     0.684304
       7.675000     0.636015
       7.725000     0.657515
       7.775000     0.640016
       7.825000     0.549485
       7.875000     0.515418
       7.925000     0.504570
       7.975000     0.505734
