#Distance_(Ang)     @O_=>_@O
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000052
       2.325000     0.003201
       2.375000     0.030337
       2.425000     0.169169
       2.475000     0.568765
       2.525000     1.278982
       2.575000     2.031627
       2.625000     2.560282
       2.675000     2.645674
       2.725000     2.343132
       2.775000     1.846618
       2.825000     1.393840
       2.875000     1.032688
       2.925000     0.788953
       2.975000     0.631867
       3.025000     0.546542
       3.075000     0.515161
       3.125000     0.506393
       3.175000     0.516824
       3.225000     0.545942
       3.275000     0.578876
       3.325000     0.614781
       3.375000     0.659404
       3.425000     0.676888
       3.475000     0.710271
       3.525000     0.732255
       3.575000     0.759529
       3.625000     0.783487
       3.675000     0.806450
       3.725000     0.822587
       3.775000     0.846527
       3.825000     0.844718
       3.875000     0.860813
       3.925000     0.870064
       3.975000     0.872866
       4.025000     0.873942
       4.075000     0.859693
       4.125000     0.846986
       4.175000     0.843819
       4.225000     0.832340
       4.275000     0.820927
       4.325000     0.813618
       4.375000     0.793051
       4.425000     0.774402
       4.475000     0.752145
       4.525000     0.721224
       4.575000     0.702524
       4.625000     0.680655
       4.675000     0.651491
       4.725000     0.631842
       4.775000     0.616972
       4.825000     0.598353
       4.875000     0.577747
       4.925000     0.565942
       4.975000     0.542554
       5.025000     0.530654
       5.075000     0.520460
       5.125000     0.502357
       5.175000     0.490566
       5.225000     0.485728
       5.275000     0.479206
       5.325000     0.481194
       5.375000     0.484953
       5.425000     0.482963
       5.475000     0.486808
       5.525000     0.493642
       5.575000     0.511460
       5.625000     0.529749
       5.675000     0.551589
       5.725000     0.568243
       5.775000     0.582537
       5.825000     0.595963
       5.875000     0.608710
       5.925000     0.616330
       5.975000     0.632728
       6.025000     0.648276
       6.075000     0.659844
       6.125000     0.664182
       6.175000     0.668692
       6.225000     0.669379
       6.275000     0.671586
       6.325000     0.665254
       6.375000     0.657853
       6.425000     0.650561
       6.475000     0.646601
       6.525000     0.629269
       6.575000     0.618659
       6.625000     0.608530
       6.675000     0.594728
       6.725000     0.579563
       6.775000     0.565898
       6.825000     0.555409
       6.875000     0.542160
       6.925000     0.532612
       6.975000     0.522414
       7.025000     0.511646
       7.075000     0.502760
       7.125000     0.495782
       7.175000     0.487851
       7.225000     0.484965
       7.275000     0.478730
       7.325000     0.472625
       7.375000     0.467024
       7.425000     0.461628
       7.475000     0.457186
       7.525000     0.455876
       7.575000     0.452789
       7.625000     0.452190
       7.675000     0.451021
       7.725000     0.452649
       7.775000     0.450473
       7.825000     0.449101
       7.875000     0.449114
       7.925000     0.448290
       7.975000     0.444731
