#Distance_(Ang)     @O_=>_@O
       0.025000     0.000000
       0.075000     0.000000
       0.125000     0.000000
       0.175000     0.000000
       0.225000     0.000000
       0.275000     0.000000
       0.325000     0.000000
       0.375000     0.000000
       0.425000     0.000000
       0.475000     0.000000
       0.525000     0.000000
       0.575000     0.000000
       0.625000     0.000000
       0.675000     0.000000
       0.725000     0.000000
       0.775000     0.000000
       0.825000     0.000000
       0.875000     0.000000
       0.925000     0.000000
       0.975000     0.000000
       1.025000     0.000000
       1.075000     0.000000
       1.125000     0.000000
       1.175000     0.000000
       1.225000     0.000000
       1.275000     0.000000
       1.325000     0.000000
       1.375000     0.000000
       1.425000     0.000000
       1.475000     0.000000
       1.525000     0.000000
       1.575000     0.000000
       1.625000     0.000000
       1.675000     0.000000
       1.725000     0.000000
       1.775000     0.000000
       1.825000     0.000000
       1.875000     0.000000
       1.925000     0.000000
       1.975000     0.000000
       2.025000     0.000000
       2.075000     0.000000
       2.125000     0.000000
       2.175000     0.000000
       2.225000     0.000000
       2.275000     0.000101
       2.325000     0.002183
       2.375000     0.020921
       2.425000     0.121206
       2.475000     0.426091
       2.525000     0.997197
       2.575000     1.678419
       2.625000     2.178457
       2.675000     2.301035
       2.725000     2.105772
       2.775000     1.743834
       2.825000     1.379949
       2.875000     1.068021
       2.925000     0.848402
       2.975000     0.700746
       3.025000     0.646592
       3.075000     0.613589
       3.125000     0.593413
       3.175000     0.595656
       3.225000     0.618328
       3.275000     0.641084
       3.325000     0.667967
       3.375000     0.702863
       3.425000     0.724408
       3.475000     0.747472
       3.525000     0.775550
       3.575000     0.794759
       3.625000     0.810086
       3.675000     0.822562
       3.725000     0.837747
       3.775000     0.853464
       3.825000     0.866232
       3.875000     0.856108
       3.925000     0.858914
       3.975000     0.848314
       4.025000     0.854159
       4.075000     0.842802
       4.125000     0.832867
       4.175000     0.818048
       4.225000     0.804457
       4.275000     0.789308
       4.325000     0.774585
       4.375000     0.773094
       4.425000     0.750726
       4.475000     0.742071
       4.525000     0.702824
       4.575000     0.691793
       4.625000     0.673680
       4.675000     0.651727
       4.725000     0.627823
       4.775000     0.618402
       4.825000     0.596764
       4.875000     0.578229
       4.925000     0.561997
       4.975000     0.555959
       5.025000     0.538231
       5.075000     0.520428
       5.125000     0.507548
       5.175000     0.497993
       5.225000     0.483234
       5.275000     0.485709
       5.325000     0.485935
       5.375000     0.484624
       5.425000     0.488617
       5.475000     0.491404
       5.525000     0.502207
       5.575000     0.515278
       5.625000     0.526970
       5.675000     0.539101
       5.725000     0.554129
       5.775000     0.571987
       5.825000     0.578495
       5.875000     0.594766
       5.925000     0.601257
       5.975000     0.604245
       6.025000     0.611871
       6.075000     0.620380
       6.125000     0.630565
       6.175000     0.639301
       6.225000     0.638188
       6.275000     0.641545
       6.325000     0.633717
       6.375000     0.632495
       6.425000     0.628089
       6.475000     0.626220
       6.525000     0.618150
       6.575000     0.609348
       6.625000     0.597473
       6.675000     0.588149
       6.725000     0.581025
       6.775000     0.564819
       6.825000     0.556405
       6.875000     0.546305
       6.925000     0.534206
       6.975000     0.524904
       7.025000     0.514323
       7.075000     0.504512
       7.125000     0.501098
       7.175000     0.495565
       7.225000     0.489332
       7.275000     0.478869
       7.325000     0.470960
       7.375000     0.469669
       7.425000     0.460077
       7.475000     0.454980
       7.525000     0.449917
       7.575000     0.444711
       7.625000     0.441256
       7.675000     0.432971
       7.725000     0.433484
       7.775000     0.431362
       7.825000     0.425687
       7.875000     0.426223
       7.925000     0.421743
       7.975000     0.419927
